Keyword,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous URL inside,Previous URL,Current URL inside,Current URL,Previous date,Current date
rachel motin,"People also ask, Image pack",10,0,,,1,,0,,6,New,,,,https://www.breitbart.com/crime/2023/08/11/sheriff-maryland-mother-rachel-morin-found-dead-trail-victim-violent-homicide/,,4/20/2024 18:04
berkeley neglected government to disclose deal,,30,2,,,1,,0,,10,New,,,,https://www.breitbart.com/tech/2023/05/22/report-uc-berkeley-failed-to-disclose-240-million-deal-with-china/,,3/28/2024 7:37
rochester man 180 days in jail,People also ask,20,2,,,1,,0,,9,New,,,,https://www.breitbart.com/crime/2023/02/03/man-gets-180-days-jail-raping-girls-aged-between-four-nine-there-is-no-getting-over-it/,,4/5/2024 14:17
melania lesbian porn,,20,0,,,1,,0,,9,New,,,,https://www.breitbart.com/politics/2016/03/23/flashback-glenn-beck-attacks-melania-trump-as-lesbian-porno-model/,,4/20/2024 0:51
nfl cheerleader ass,"Image pack, People also ask, Thumbnail",40,0,,1,1,0,0,8,10,-2,,https://www.breitbart.com/sports/2023/03/01/report-nfl-films-maintained-database-of-cheerleader-butt-chest-and-cleavage-shots/,,https://www.breitbart.com/sports/2023/03/01/report-nfl-films-maintained-database-of-cheerleader-butt-chest-and-cleavage-shots/,1/12/2024 7:58,4/10/2024 19:53
rochester 180 days,Image pack,20,2,,,1,,0,,8,New,,,,https://www.breitbart.com/crime/2023/02/03/man-gets-180-days-jail-raping-girls-aged-between-four-nine-there-is-no-getting-over-it/,,4/16/2024 17:31
milo yiannopoulos fat,Thumbnail,30,1,,,1,,0,,8,New,,,,https://www.breitbart.com/social-justice/2016/09/22/milo-explains-fat-shaming-good/,,4/10/2024 1:14
labor day 1980,"Featured snippet, People also ask, Image pack",60,0,,1,1,0,0,6,7,-1,Image pack,https://www.breitbart.com/economy/2018/09/03/ronald-reagan-on-labor-day-1980-make-america-great-again/,Image pack,https://www.breitbart.com/economy/2018/09/03/ronald-reagan-on-labor-day-1980-make-america-great-again/,1/6/2024 6:20,4/5/2024 18:29
apple airtags triggered explosion nationwide lawsuit,"People also ask, Image pack",20,1,,,1,,0,,9,New,,,,https://www.breitbart.com/tech/2023/10/13/lawsuit-apple-airtags-have-caused-a-nationwide-surge-in-stalking-incidents/,,4/15/2024 5:24
breitbart founder,Sitelinks,50,26,,0,1,0,0,14,8,6,,https://www.breitbart.com/tag/andrew-breitbart/,,https://media.breitbart.com/media/2019/11/about-breitbart-news.pdf,12/27/2023 13:09,3/31/2024 21:18
eduardo beaven net worth,"People also ask, Image pack",10,0,,,1,,0,,7,New,,,,https://www.breitbart.com/border/2021/10/28/mexico-city-airport-shootout-reveals-links-to-vast-criminal-underworld/,,4/16/2024 22:03
puss in boots woke,"People also ask, Discussions, Image pack",10,0,,0,1,0,0,8,6,2,,https://www.breitbart.com/entertainment/2023/01/18/nolte-puss-in-boots-ii-humiliates-woke-disney-at-the-box-office/,,https://www.breitbart.com/entertainment/2023/01/18/nolte-puss-in-boots-ii-humiliates-woke-disney-at-the-box-office/,12/31/2023 7:32,4/22/2024 11:52
12 ngo taxi,"Thumbnail, Image pack",20,0,0,1,1,0,0,8,10,-2,,https://www.breitbart.com/europe/2021/12/24/nearly-800-migrants-aboard-ngo-taxi-ships-awaiting-european-port-access/,,https://www.breitbart.com/europe/2022/12/23/migrant-taxi-ngo-laments-it-may-have-to-halt-activity-under-new-meloni-govt-regulations/,1/9/2024 7:34,3/6/2024 10:54
hong kong tijuana death 2023,People also ask,30,3,,,1,,0,,10,New,,,,https://www.breitbart.com/border/2023/05/15/tijuana-cops-shut-down-upscale-strip-club-over-homicide-of-us-army-soldier/,,3/30/2024 1:36
china mocks 9/11,,30,0,,,1,,0,,10,New,,,,https://www.breitbart.com/politics/2023/09/12/chinese-media-mock-usa-on-anniversary-of-9-11-attacks/,,4/13/2024 2:15
shark tracker submarine,Image pack,30,0,,,1,,0,,10,New,,,,https://www.breitbart.com/tech/2023/06/22/social-media-spreads-theory-missing-titanic-sub-can-be-located-with-shark-tracking-app/,,3/29/2024 1:48
bright bar news,Tweet box,10,95,,1,1,0,0,2,3,-1,,https://www.breitbart.com/,,https://www.breitbart.com/,1/12/2024 18:07,4/18/2024 6:07
seattle pride nude,Discussions,20,13,,,1,,0,,9,New,,,,https://www.breitbart.com/politics/2023/06/25/nude-cyclists-perform-front-children-seattle-pride-parade/,,4/15/2024 10:18
two naked women eating deer,,20,1,,,1,,0,,9,New,,,,https://www.breitbart.com/local/2023/06/06/video-nearly-naked-witches-reportedly-seen-eating-dead-deer-it-freaked-us-out/,,4/13/2024 2:55
curtis jackson nancy mace husband,Image pack,20,4,,0,1,1,0,22,9,13,,https://www.breitbart.com/politics/2023/12/08/mccarthy-ouster-nancy-mace-splits-fiance/,,https://www.breitbart.com/politics/2023/12/08/mccarthy-ouster-nancy-mace-splits-fiance/,1/21/2024 16:32,4/20/2024 20:39
hong kong tijuana raid,People also ask,20,0,,1,1,-1,0,6,9,-3,,https://www.breitbart.com/border/2023/05/15/tijuana-cops-shut-down-upscale-strip-club-over-homicide-of-us-army-soldier/,,https://www.breitbart.com/border/2023/05/15/tijuana-cops-shut-down-upscale-strip-club-over-homicide-of-us-army-soldier/,1/18/2024 6:08,3/29/2024 21:53
bud tent at sturgis 2023,"Featured snippet, Thumbnail, Image pack",20,0,,,1,,0,,9,New,,,,https://www.breitbart.com/politics/2023/08/10/video-appears-budweiser-tent-empty-sturgis-motorcycle-event/,,3/22/2024 20:41
aaron eckhart abuse,Featured snippet,30,7,,,1,,0,,10,New,,,,https://www.breitbart.com/entertainment/2023/11/07/movie-producers-sue-actress-abigail-breslin-claim-she-is-too-afraid-to-do-scenes-with-aggressive-aaron-eckhart/,,4/16/2024 4:25
ariana laufi,Image pack,30,3,,,1,,0,,10,New,,,,https://www.breitbart.com/crime/2023/11/06/mom-sues-mcdonalds-doing-nothing-intervene-daughter-beaten/,,3/29/2024 1:35
garth brooks christian,People also ask,10,3,,1,1,0,0,7,8,-1,,https://www.breitbart.com/entertainment/2023/11/29/trisha-yearwood-garth-brooks-mocked-for-singing-atheist-anthem-imagine-at-devotedly-christian-roselyn-carters-funeral/,,https://www.breitbart.com/entertainment/2023/11/29/trisha-yearwood-garth-brooks-mocked-for-singing-atheist-anthem-imagine-at-devotedly-christian-roselyn-carters-funeral/,1/1/2024 8:50,4/22/2024 10:27
estella suarez-hamilton,"Thumbnail, Image pack",20,0,,1,1,0,0,8,8,,,https://www.breitbart.com/politics/2023/04/10/survivors-trans-panic-de-transitioner-reveals-horrors-gender-cyber-sect/,,https://www.breitbart.com/politics/2023/04/10/survivors-trans-panic-de-transitioner-reveals-horrors-gender-cyber-sect/,1/14/2024 2:23,4/9/2024 4:59
dennis zeledon hernandez,,20,0,,,1,,0,,8,New,,,,https://www.breitbart.com/politics/2023/07/05/manhunt-underway-after-illegal-alien-escapes-virginia-detention-center/,,4/16/2024 12:34
samira nasr israel,Thumbnail,30,6,,,1,,0,,10,New,,,,https://www.breitbart.com/entertainment/2023/10/12/harpers-bazaar-editor-in-chief-under-fire-for-saying-siege-of-gaza-most-inhuman-thing-ever/,,3/30/2024 23:38
senate gay sex tape full video,,30,0,,,1,,0,,10,New,,,,https://www.breitbart.com/politics/2023/12/15/graphic-video-senate-staffer-caught-filming-gay-sex-tape-in-senate-hearing-room/,,4/10/2024 10:04
ceo of kellogg's net worth,People also ask,30,1,,,1,,0,,10,New,,,,https://www.breitbart.com/politics/2024/03/01/kelloggs-ceo-suggests-cash-strapped-families-suffering-under-inflation-eat-cereal-for-dinner/,,4/13/2024 1:30
tai emery celebration video,,30,0,,0,1,0,0,14,10,4,,https://www.breitbart.com/sports/2022/09/07/video-bare-knuckle-fighter-tai-emery-celebrates-win-by-flashing-the-crowd/,,https://www.breitbart.com/sports/2022/09/07/video-bare-knuckle-fighter-tai-emery-celebrates-win-by-flashing-the-crowd/,1/17/2024 12:11,4/19/2024 19:03
ghostrider cjng,,30,1,,0,1,0,0,14,10,4,,https://www.breitbart.com/border/2020/09/16/graphic-exclusive-cartel-gunmen-burn-rivals-face-off-in-mexico/,,https://www.breitbart.com/border/2020/09/16/graphic-exclusive-cartel-gunmen-burn-rivals-face-off-in-mexico/,1/2/2024 19:44,3/29/2024 17:29
san francisco gender list,People also ask,10,7,,0,1,0,0,8,6,2,,https://www.breitbart.com/politics/2022/11/17/san-francisco-transgender-income-program-includes-97-gender-options/,,https://www.breitbart.com/politics/2022/11/17/san-francisco-transgender-income-program-includes-97-gender-options/,1/2/2024 16:13,4/14/2024 19:18
rontavis holton,,10,0,0,1,1,0,0,6,8,-2,,https://www.breitbart.com/politics/2015/01/14/taco-bell-thief-demands-victim-drop-pants-victim-kills-him/,,https://www.breitbart.com/politics/2015/01/14/taco-bell-thief-demands-victim-drop-pants-victim-kills-him/,1/11/2024 9:18,3/8/2024 15:11
father fernando heria,Image pack,20,0,0,1,1,0,0,10,10,,,https://www.breitbart.com/latin-america/2020/12/07/exclusive-top-cuban-american-priest-catholics-have-a-role-to-play-against-communism/,,https://www.breitbart.com/latin-america/2020/12/07/exclusive-top-cuban-american-priest-catholics-have-a-role-to-play-against-communism/,1/9/2024 17:30,3/6/2024 5:38
macon walmart mob,"Shopping results, Thumbnail, Local pack",20,4,0,1,1,0,0,11,10,1,,https://www.breitbart.com/politics/2015/06/30/black-mob-swarms-georgia-walmart-to-see-how-much-damage-they-could-do/,,https://www.breitbart.com/politics/2015/06/30/black-mob-swarms-georgia-walmart-to-see-how-much-damage-they-could-do/,1/7/2024 15:04,3/6/2024 3:15
"michael chastain, 45",Image pack,20,2,,,1,,0,,10,New,,,,https://www.breitbart.com/2nd-amendment/2023/08/14/wife-shoots-kills-daughters-ex-boyfriend-to-save-husband/,,4/13/2024 1:21
shei rochester,People also ask,20,4,,,1,,0,,10,New,,,,https://www.breitbart.com/crime/2023/02/03/man-gets-180-days-jail-raping-girls-aged-between-four-nine-there-is-no-getting-over-it/,,3/30/2024 0:10
devante garrison-johnson,Image pack,20,4,,1,1,0,0,10,10,,,https://www.breitbart.com/politics/2023/04/19/chicago-good-samaritan-save-couple-violent-teen-mob/,,https://www.breitbart.com/politics/2023/04/19/chicago-good-samaritan-save-couple-violent-teen-mob/,1/3/2024 21:45,4/14/2024 3:47
garth brooks insults fans,"Videos, Image pack",20,1,,,1,,0,,10,New,,,,https://www.breitbart.com/entertainment/2023/06/09/garth-brooks-calls-bud-light-boycotters-aholes-following-transgender-dylan-mulvaney-controversy/,,4/8/2024 13:46
taylor swift ai photos chiefs nudes,,20,11,,,1,,0,,10,New,,,,https://www.breitbart.com/entertainment/2024/01/25/fans-outraged-over-ai-generated-sexually-graphic-taylor-swift-images/,,4/14/2024 4:10
"emma-jo morris,","Tweet box, Image pack",20,3,,,1,,0,,9,New,,,,https://www.breitbart.com/author/ejmorris/,,4/6/2024 10:47
22-year-old ezra fry,Image pack,20,2,,,1,,0,,9,New,,,,https://www.breitbart.com/crime/2023/10/19/queer-teacher-couple-busted-prostitution-sting-investigation/,,4/4/2024 23:58
best full size 9mm pistol under 500,,20,4,,,1,,0,,10,New,,,,https://www.breitbart.com/2nd-amendment/2023/03/10/self-defense-budget-five-9mm-pistols-under-500/,,3/28/2024 18:54
martin luther king high school trans fight,People also ask,20,4,,,1,,0,,10,New,,,,https://www.breitbart.com/politics/2023/04/28/report-teen-boy-who-identifies-as-transgender-brawls-with-girls-at-california-high-school/,,4/8/2024 0:45
new york electric snow plow,"Featured snippet, Thumbnail, Image pack",20,3,,,1,,0,,9,New,,,,https://www.breitbart.com/environment/2023/11/09/diesel-wins-new-york-gives-thumbs-down-to-electric-snow-plows/,,4/8/2024 14:48
mr rogers boy stay a boy,,20,3,,,1,,0,,9,New,,,,https://www.breitbart.com/entertainment/2023/02/02/old-mr-rogers-video-goes-viral-amid-transgender-insanity-boys-are-boys-from-the-beginning/,,3/28/2024 21:32
samantha hudson tweets translated,"Featured snippet, Thumbnail, Image pack",20,9,,,1,,0,,9,New,,,,https://www.breitbart.com/politics/2024/03/05/doritos-fires-trans-brand-ambassador-disturbing-tweet-surfaces/,,3/29/2024 11:50
mr rogers boys are boys song,"Featured snippet, Video preview, Knowledge panel",20,0,,1,1,0,0,10,10,,,https://www.breitbart.com/entertainment/2023/02/02/old-mr-rogers-video-goes-viral-amid-transgender-insanity-boys-are-boys-from-the-beginning/,,https://www.breitbart.com/entertainment/2023/02/02/old-mr-rogers-video-goes-viral-amid-transgender-insanity-boys-are-boys-from-the-beginning/,1/3/2024 17:50,3/23/2024 20:35
senate porn leak,People also ask,20,25,,,1,,0,,10,New,,,,https://www.breitbart.com/politics/2023/12/15/graphic-video-senate-staffer-caught-filming-gay-sex-tape-in-senate-hearing-room/,,4/13/2024 1:25
ibm bonus 2023,Image pack,10,2,,,1,,0,,6,New,,,,https://www.breitbart.com/immigration/2023/12/14/ibms-ceo-denies-offering-bonus-for-racial-and-sexual-hiring-bias/,,4/15/2024 17:52
liz o gingermcirish,Image pack,20,0,0,,1,,0,,3,New,,,Image pack,https://www.breitbart.com/tech/2015/10/27/breitbart-tech-meet-the-team/,,3/14/2024 19:01
jed hill missing,"People also ask, Image pack",10,1,,1,1,0,0,5,7,-2,,https://www.breitbart.com/local/2022/05/07/dive-team-recovers-body-of-idaho-teen-who-went-missing-four-years-ago/,,https://www.breitbart.com/local/2022/05/07/dive-team-recovers-body-of-idaho-teen-who-went-missing-four-years-ago/,1/2/2024 11:57,3/24/2024 12:47
11900 block of lockridge road,People also ask,20,9,,,1,,0,,10,New,,,,https://www.breitbart.com/environment/2024/02/05/l-a-breaks-97-year-rainfall-record-as-massive-storm-floods-city/,,3/30/2024 14:20
man hit by car helping ducks video,"Discussions, People also ask, Image pack",20,0,,,1,,0,,10,New,,,,https://www.breitbart.com/health/2023/05/22/video-california-man-dies-when-hit-by-car-after-helping-ducks-cross-street-just-so-tragic/,,4/15/2024 2:54
woodgrove high school walkout,Image pack,20,5,,,1,,0,,10,New,,,,https://www.breitbart.com/education/2023/11/03/loudoun-county-students-walk-out-protest-districts-transgender-bathroom-policy/,,4/19/2024 0:16
wellesley high school usa day,Image pack,20,1,,,1,,0,,10,New,,,,https://www.breitbart.com/education/2023/11/20/massachusetts-high-school-cancels-usa-day-claims-too-politicized/,,4/15/2024 7:45
tate drageset instagram,Image pack,40,0,,,1,,0,,8,New,,,Image pack,https://www.breitbart.com/sports/2023/12/14/university-of-washington-gives-one-of-only-12-female-volleyball-scholarships-to-trans-athlete/,,4/20/2024 15:26
rob schneider dylan mulvaney,,20,0,,,0,,0,,10,New,,,,https://www.breitbart.com/entertainment/2023/09/06/comedian-rob-schneider-gentleman-dylan-mulvaney-is-guilty-of-gender-appropriation/,,4/3/2024 3:33
john billings nrcc,Image pack,20,0,,0,0,0,0,9,9,,,https://www.breitbart.com/politics/2022/11/14/nrcc-executive-director-resigns-sexual-harassment-allegations/,,https://www.breitbart.com/politics/2022/11/14/nrcc-executive-director-resigns-sexual-harassment-allegations/,12/31/2023 9:43,4/22/2024 10:48
board shares sat scores gpa facebook,"Featured snippet, People also ask",20,0,,,0,,0,,10,New,,,,https://www.breitbart.com/tech/2023/08/27/report-college-board-shares-student-sat-scores-and-gpas-with-facebook-tiktok/,,4/13/2024 2:34
"christopher hampton, 18, of maywood, illinois","Thumbnail, Image pack",20,6,,,0,,0,,10,New,,,,https://www.breitbart.com/pre-viral/2023/05/23/watch-mass-brawl-erupts-chicago-airport-baggage-claim/,,3/28/2024 7:36
ideal conceal reviews,"Thumbnail, People also ask, Discussions, Knowledge panel, Image pack",20,5,,1,0,0,0,7,10,-3,,https://www.breitbart.com/sports/2021/12/23/review-ideal-conceal-9mm-smartphone-pistol/,,https://www.breitbart.com/sports/2021/12/23/review-ideal-conceal-9mm-smartphone-pistol/,1/20/2024 3:42,4/15/2024 19:49
apple khosla goliath goliath tech,"People also ask, Image pack",20,2,,,0,,0,,10,New,,,,https://www.breitbart.com/tech/2023/05/25/goliath-vs-goliath-venture-capital-titan-vinod-khosla-takes-on-apple-alleging-theft-of-health-tech/,,4/13/2024 0:43
shailene woodley butt,,20,0,,,0,,0,,8,New,,,,https://www.breitbart.com/environment/2017/09/07/possible-candidate-shailene-woodley-police-searched-my-butt-for-drugs/,,3/30/2024 12:13
did jack daniels go woke?,"Thumbnail, People also ask, Image pack",20,9,,,0,,0,,10,New,,,,https://www.breitbart.com/politics/2023/04/13/watch-jack-daniels-fan-sets-whiskey-on-fire-to-blast-woke-a-company/,,4/10/2024 3:12
target hires pride strategist,,20,10,,,0,,0,,10,New,,,,https://www.breitbart.com/politics/2023/11/27/target-embraces-transgenderism-hires-gay-cruella-marketing-job/,,4/11/2024 1:43
uber beats cancun,"People also ask, Thumbnail",20,0,,2,0,-1,0,4,10,-6,,https://www.breitbart.com/border/2023/06/13/video-taxi-drivers-beat-uber-driver-outside-of-cancun-hotel/,,https://www.breitbart.com/border/2023/06/13/video-taxi-drivers-beat-uber-driver-outside-of-cancun-hotel/,12/27/2023 5:49,4/22/2024 9:48
thor love and thunder woke,"Discussions, People also ask",20,0,,0,0,0,0,12,9,3,,https://www.breitbart.com/entertainment/2022/07/08/thor-love-and-thunder-review-kinda-woke-and-kinda-stinks/,,https://www.breitbart.com/entertainment/2022/07/08/thor-love-and-thunder-review-kinda-woke-and-kinda-stinks/,1/9/2024 15:53,4/17/2024 2:49
nuevo progreso cartel,"Thumbnail, Sitelinks, People also ask",10,0,,,0,,0,,8,New,,,,https://www.breitbart.com/border/2023/10/11/cops-find-cartel-surveillance-center-in-mexican-tourist-hotspot-near-texas-border/,,4/2/2024 6:02
kimber lee blackmail,,10,0,,,0,,0,,10,New,,,,https://www.breitbart.com/news/lgbtq-foster-youths-could-expect-different-experiences-as-tennessee-and-colorado-pass-opposing-laws/,,4/8/2024 3:55
sturgis budweiser tent 2023,"Thumbnail, People also ask, Image pack",20,0,,,0,,0,,10,New,,,,https://www.breitbart.com/politics/2023/08/10/video-appears-budweiser-tent-empty-sturgis-motorcycle-event/,,4/10/2024 9:45
tyler fischer lawsuit,"Featured snippet, Thumbnail",10,1,,0,0,0,0,9,9,,,https://www.breitbart.com/entertainment/2022/05/22/comedian-tyler-fischer-alleges-talent-agency-wouldnt-sign-him-because-hes-white/,,https://www.breitbart.com/entertainment/2022/05/22/comedian-tyler-fischer-alleges-talent-agency-wouldnt-sign-him-because-hes-white/,12/28/2023 14:17,4/6/2024 13:53
blue hair meaning woke,"People also ask, Image pack",10,3,,,0,,0,,9,New,,,,https://www.breitbart.com/tech/2015/10/28/aposematism-may-explain-why-so-many-angry-women-have-blue-hair/,,4/10/2024 18:06
bud light tent sturgis,"Thumbnail, People also ask, Image pack",20,0,,,0,,0,,10,New,,,,https://www.breitbart.com/politics/2023/08/10/video-appears-budweiser-tent-empty-sturgis-motorcycle-event/,,4/7/2024 9:01
disney man dressed as princess,"Thumbnail, Image pack, People also ask",40,2,,,0,,0,,3,New,,,Image pack,https://www.breitbart.com/entertainment/2023/08/26/video-from-disturbed-visitors-shows-men-dressed-in-drag-greeting-children-at-disney-princess-makeover-boutique/,,4/20/2024 9:03
sturgis 2023 bud light tent,"People also ask, Image pack",20,0,,,0,,0,,10,New,,,,https://www.breitbart.com/politics/2023/08/10/video-appears-budweiser-tent-empty-sturgis-motorcycle-event/,,4/5/2024 1:59
the lifestyle san francisco party scene,"Thumbnail, People also ask, Image pack",10,5,,0,0,0,0,70,9,61,,https://www.breitbart.com/tech/2023/05/16/the-lifestyle-murdered-cash-app-creator-bob-lee-was-part-of-san-franciscos-drug-and-sex-party-scene/,,https://www.breitbart.com/tech/2023/05/16/the-lifestyle-murdered-cash-app-creator-bob-lee-was-part-of-san-franciscos-drug-and-sex-party-scene/,1/3/2024 10:21,3/31/2024 16:39
turning red box office flop,"Featured snippet, Thumbnail, People also ask, Discussions, Image pack",20,7,,,0,,0,,10,New,,,,https://www.breitbart.com/entertainment/2024/02/12/nolte-another-week-another-disney-theatrical-flop-with-turning-red/,,4/15/2024 15:25
trading places blackface scene,"People also ask, Image pack",30,3,,,0,,0,,9,New,,,Image pack,https://www.breitbart.com/entertainment/2023/06/29/dan-aykroyd-says-eddie-murphy-didnt-object-to-his-blackface-scene-in-trading-places/,,4/8/2024 5:33
"joe biden no term limits for supreme court justices, maybe move them to another court",People also ask,10,71,,1,0,-1,0,4,10,-6,,https://www.breitbart.com/politics/2020/10/26/joe-biden-no-term-limits-for-supreme-court-justices-maybe-move-them-to-another-court/,,https://www.breitbart.com/politics/2020/10/26/joe-biden-no-term-limits-for-supreme-court-justices-maybe-move-them-to-another-court/,1/5/2024 19:12,4/16/2024 12:09
bakari shei,,10,4,,0,0,0,0,11,9,2,,https://www.breitbart.com/crime/2023/02/03/man-gets-180-days-jail-raping-girls-aged-between-four-nine-there-is-no-getting-over-it/,,https://www.breitbart.com/crime/2023/02/03/man-gets-180-days-jail-raping-girls-aged-between-four-nine-there-is-no-getting-over-it/,1/1/2024 1:51,4/9/2024 6:35
pamela mastropietro t shirt,,10,4,,0,0,0,0,12,10,2,,https://www.breitbart.com/europe/2023/01/27/graphic-content-warning-mother-of-teen-dismembered-by-migrant-drug-dealer-wears-shirt-showing-her-dead-body-to-court/,,https://www.breitbart.com/europe/2023/01/27/graphic-content-warning-mother-of-teen-dismembered-by-migrant-drug-dealer-wears-shirt-showing-her-dead-body-to-court/,1/2/2024 15:00,4/14/2024 10:13
james rayl toxicology,Image pack,10,0,,,0,,0,,9,New,,,,https://www.breitbart.com/2nd-amendment/2022/08/02/father-opens-fire-daughters-ex-boyfriend-allegedly-breaks-door/,,4/5/2024 6:13
michelle wie panties,"Image pack, Thumbnail",20,2,,,0,,0,,1,New,,,Image pack,https://www.breitbart.com/sports/2021/02/22/golfer-michelle-wie-west-decries-rudy-giuliani-panties-comment/,,4/15/2024 8:12
carlos martinez el cuate,Image pack,10,0,,0,0,0,0,12,10,2,,https://www.breitbart.com/border/2022/11/18/feds-arrest-alleged-top-gulf-cartel-operator-in-texas-border-city/,,https://www.breitbart.com/border/2022/11/18/feds-arrest-alleged-top-gulf-cartel-operator-in-texas-border-city/,1/3/2024 4:54,3/25/2024 9:00
rams logo penis,Thumbnail,10,0,,0,0,0,0,13,10,3,,https://www.breitbart.com/sports/2020/03/29/eric-dickerson-agrees-with-fans-the-new-rams-logo-looks-like-a-penis/,,https://www.breitbart.com/sports/2020/03/29/eric-dickerson-agrees-with-fans-the-new-rams-logo-looks-like-a-penis/,1/10/2024 6:09,4/13/2024 3:31
maria childers kentucky,Thumbnail,0,6,,,0,,0,,3,New,,,,https://www.breitbart.com/crime/2024/02/10/court-docs-trans-kentucky-daycare-worker-avoids-prison-time-sexually-abusing-baby/,,4/6/2024 0:47
new amsterdam too woke,People also ask,10,3,,0,0,0,0,7,8,-1,,https://www.breitbart.com/entertainment/2021/11/18/woke-overload-nbcs-new-amsterdam-has-doctors-protect-black-trans-illegal-immigrant-with-cancer-from-ice/,,https://www.breitbart.com/entertainment/2021/11/18/woke-overload-nbcs-new-amsterdam-has-doctors-protect-black-trans-illegal-immigrant-with-cancer-from-ice/,1/3/2024 15:43,4/14/2024 12:28
shaynella williams,"Thumbnail, Image pack",10,0,,0,0,0,0,12,4,8,,https://www.breitbart.com/crime/2023/03/06/chicago-woman-accused-stabbing-was-bail-allegedly-slashing-others/,Image pack,https://www.breitbart.com/crime/2023/03/06/chicago-woman-accused-stabbing-was-bail-allegedly-slashing-others/,1/2/2024 5:51,4/6/2024 21:14
roger githens,Image pack,20,2,,0,0,0,0,12,7,5,,https://www.breitbart.com/crime/2023/04/25/california-professor-allegedly-tried-arrange-rape-child-lure-her-doll-university-horrific/,Image pack,https://www.breitbart.com/crime/2023/04/25/california-professor-allegedly-tried-arrange-rape-child-lure-her-doll-university-horrific/,1/16/2024 5:49,4/20/2024 0:22
mohammed bakari shei,,10,5,,0,0,0,0,10,10,,,https://www.breitbart.com/crime/2023/02/03/man-gets-180-days-jail-raping-girls-aged-between-four-nine-there-is-no-getting-over-it/,,https://www.breitbart.com/crime/2023/02/03/man-gets-180-days-jail-raping-girls-aged-between-four-nine-there-is-no-getting-over-it/,1/6/2024 17:50,4/16/2024 8:00
revival at texas a&m,Thumbnail,10,3,,0,0,0,0,9,10,-1,,https://www.breitbart.com/faith/2023/09/22/texas-a-124-baptized/,,https://www.breitbart.com/faith/2023/09/22/texas-a-124-baptized/,12/31/2023 14:27,4/10/2024 5:24
biological male wins miss netherlands,"Featured snippet, Video preview, Image pack",30,20,,,0,,0,,5,New,,,Image pack,https://www.breitbart.com/europe/2023/07/09/transgender-model-crowned-as-miss-netherlands-will-compete-for-title-of-miss-universe/,,3/29/2024 12:10
los metros cartel pictures,Thumbnail,10,1,,0,0,0,0,13,10,3,,https://www.breitbart.com/tag/reynosa-los-metros-faction/,,https://www.breitbart.com/tag/reynosa-los-metros-faction/,1/5/2024 23:22,3/27/2024 3:25
kayla nicole pyle,"Thumbnail, Image pack",20,0,,,0,,0,,3,New,,,Image pack,https://www.breitbart.com/crime/2023/12/30/sheriff-suspects-attack-south-carolina-chipotle-worker-over-charge-for-extra-chicken/,,4/13/2024 3:42
alabama man bass pro shops,"Featured snippet, Thumbnail, Image pack",20,7,,,0,,0,,7,New,,,Image pack,https://www.breitbart.com/crime/2024/01/05/alabama-man-skinny-dips-bass-pro-shops-tank/,,4/12/2024 10:59
mohamed shei rochester mn,,10,5,,0,0,0,0,11,10,1,,https://www.breitbart.com/crime/2023/02/03/man-gets-180-days-jail-raping-girls-aged-between-four-nine-there-is-no-getting-over-it/,,https://www.breitbart.com/crime/2023/02/03/man-gets-180-days-jail-raping-girls-aged-between-four-nine-there-is-no-getting-over-it/,1/2/2024 20:46,3/26/2024 11:00
the raping tree,Image pack,20,7,,0,0,0,0,31,8,23,,https://www.breitbart.com/border/2016/04/25/rape-trees-dead-migrants-consequences-open-border/,Image pack,https://www.breitbart.com/border/2016/04/25/rape-trees-dead-migrants-consequences-open-border/,12/28/2023 4:29,4/21/2024 16:05
bubba wallace flipping off camera,"People also ask, Image pack",20,3,,0,0,0,0,4,8,-4,Image pack,https://www.breitbart.com/sports/2023/05/22/video-nascars-bubba-wallace-flips-off-camera-in-post-race-interview-after-winning-second-place/,Image pack,https://www.breitbart.com/sports/2023/05/22/video-nascars-bubba-wallace-flips-off-camera-in-post-race-interview-after-winning-second-place/,1/2/2024 14:30,3/23/2024 17:49
texas a&m revival 2023,,0,1,,0,0,0,0,4,9,-5,,https://www.breitbart.com/faith/2023/09/22/texas-a-124-baptized/,,https://www.breitbart.com/faith/2023/09/22/texas-a-124-baptized/,1/22/2024 2:42,4/7/2024 13:32
revival texas a&m,"Thumbnail, Image pack",10,2,,0,0,0,0,9,10,-1,,https://www.breitbart.com/faith/2023/09/22/texas-a-124-baptized/,,https://www.breitbart.com/faith/2023/09/22/texas-a-124-baptized/,12/31/2023 2:54,4/6/2024 5:14
who is breitbart,"Knowledge panel, Tweet box",20,45,,,0,,0,,4,New,,,,https://media.breitbart.com/media/2019/11/about-breitbart-news.pdf,,4/9/2024 12:45
jamaal bowman door,"People also ask, Tweet box, Image pack",20,7,,,0,,0,,9,New,,,Image pack,https://www.breitbart.com/politics/2023/09/30/exclusive-capitol-sources-jamaal-bowman-threw-signs-warning-door-was-emergency-only-on-floor-before-pulling-fire-alarm/,,4/12/2024 15:40
